Chinese,Pinyin ^1,English Meaning 2
活跃,huóyuè,Active; vigorous 
提倡,tíchàng,To advocate; to promote 
经历,jīnglì,Experience; to go through 
检查,jiǎnchá,To check; to inspect 
等级,děngjí,Grade; rank; level 
车厢,chēxiāng,Railway carriage; coach 
以往,yǐwǎng,In the past; formerly 
见闻,jiànwén,What one sees and hears; knowledge 
激烈,jīliè,Intense; fierce; violent 
领袖,lǐngxiù,Leader 
朱元璋,Zhū Yuánzhāng,Zhu Yuanzhang (founding emperor of Ming Dynasty) 
南京,Nánjīng,Nanjing (city in Jiangsu province) 
开端,kāiduān,Beginning; start; opening 
关汉卿,Guān Hànqīng,Guan Hanqing (Yuan dynasty playwright) 
戏曲,xìqǔ,Traditional opera; drama 
行省制度,xíngshěng zhìdù,Provincial system (administrative division) 
赫赫战功,hèhè zhàngōng,Distinguished military service; illustrious exploits 
儒学,rúxué,Confucianism 
歧视,qíshì,Discrimination
