Chinese,Pinyin ^1,English Meaning 2
危机,wēijī,Crisis; critical juncture
免费,miǎnfèi,Free of charge; gratuitous
坚持,jiānchí,To persist in; to uphold; to persevere
治疗,zhìliáo,To treat (an illness); medical treatment
疾病,jíbìng,Disease; sickness; ailment
传染病,chuánrǎnbìng,Infectious disease; contagious disease
堤坝,dībà,Dam; embankment; dyke
标志,biāozhì,Sign; mark; symbol; to symbolize
外科,wàikē,Surgery; surgical department
目的地,mùdìdì,Destination
传播,chuánbō,To disseminate; to spread; to broadcast
政权,zhèngquán,Regime; political power; government
