Pronoun,Conjugation,Tense 1
Yo,Soy,Present
Tú,Eres,Present
Él/Ella/Usted,Es,Present
Nosotros/Nosotras,Somos,Present
Vosotros/Vosotras,Sois,Present
Ellos/Ellas/Ustedes,Son,Present
Yo,Seré,Future
Tú,Serás,Future
Él/Ella/Usted,Será,Future
Nosotros/Nosotras,Seremos,Future
Vosotros/Vosotras,Seréis,Future
Ellos/Ellas/Ustedes,Serán,Future
Yo,Fui,Preterite
Tú,Fuiste,Preterite
Él/Ella/Usted,Fue,Preterite
Nosotros/Nosotras,Fuimos,Preterite
Vosotros/Vosotras,Fuisteis,Preterite
Ellos/Ellas/Ustedes,Fueron,Preterite
