Spanish,English
el muchacho,boy
la muchacha,girl
el amigo / la amiga,friend
el alumno / la alumna,student
la persona,person
el colegio / la escuela,school
alto(a),tall
bajo(a),short
guapo(a),handsome
bonito(a),pretty
lindo(a),pretty
feo(a),ugly
moreno(a),dark / brunette
rubio(a),blond
flaco(a),thin / skinny
gordo(a),fat
gracioso(a),funny
cómico(a),funny
serio(a),serious
trabajador(a),hardworking
relajado(a),relaxed
bueno(a),good
fantástico(a),fantastic
tímido(a),timid / shy
sincero(a),sincere
honesto(a),honest
generoso(a),generous
simpático(a),nice
ser,to be
americano(a),American
chileno(a),Chilean
colombiano(a),Colombian
cubano(a),Cuban
mexicano(a),Mexican
puertorriqueño(a),Puerto Rican
venezolano(a),Venezuelan
¿quién?,who?
¿qué?,what?
¿cómo?,how?
¿de dónde?,from where?
¿de qué nacionalidad?,what nationality?
bastante,enough / rather / quite
muy,very
no / de ninguna manera," no / by no means"
secundario(a),secondary
