Spanish,English
el pegamento,the glue
la grapadora,the stapler
la regla,the ruler
el marcador fluorescente,the highlighter
el clip de papel,the paperclip
la estampilla,the postage stamp
la cinta adhesiva,the adhesive tape
el diccionario,the dictionary
la tijera,the scissors
el sacapuntas,the pencil sharpener
el sobre,the envelope
las botas,the boots
el traje de gala,formal wear; full dress
el chaleco,the vest
la sudadera con capucha,the hoodie
el sombrero,the hat
el borrador,eraser
el pantalón corto,shorts
los Levi,jeans
la falda corta,the short skirt
la falda larga,the long skirt
la chamarra,the jacket
el abrigo,the coat
a rayas,striped
el vestido,the dress
las sandalias,the sandles
los guantes,the gloves
la librería,bookstore
la biblioteca,library
de color crema,the color cream
decoloración beige,beige
el suéter,the sweater
las gafas; los lentes; los ocultos,the eye glasses
morado/de color vino,maroon/bergundy
violeta,violet
el collar de plata,the silver necklace
