Spanish,English
"llegar","to arrive"
"ir a pie","to go on foot, to walk"
"en el bus escolar","by school bus"
"en carro, en coche","by car"
"entrar en la escuela","to go into school"
"la sala (el salón) de clase","classroom"
"la pizarra, el pizarrón","chalkboard"
"estar en clase","to be in class"
"estudiar","to study"
"enseñar (teach)","to show"
"mirar","to look (at)"
"escuchar","to listen (to)"
"prestar atención","to pay attention"
"tomar apuntes","to take notes"
"dar un examen","to give a test"
"sacar notas buenas (altas)","to get good grades"
"sacar notas malas (bajas)","to get bad grades"
"el Club de español","Spanish Club"
"el miembro","member"
"la fiesta","party"
"la música","music"
"el disco compacto","compact disk"
"el casete","cassette"
"la merienda","snack"
"bailar","to dance"
"cantar","to sing"
"preparar","to prepare"
"dar una fiesta","to give (throw) a party"
"¿a qué hora?","at what time?"
"¿cuándo?","when?"
"¿adónde?","where?"
"a eso de","at about"
"en punto","on the dot, sharp"
"otros(as)","others"
"algunos(as)","some"
"ahora","now"
"también","also"
